epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,23058.6,0.70102,0.36324,0.97883,0.86745,0.85219,0.88617,0.60928,1.49357,0.75096,1.71506,0.000258223,0.000258223,0.000258223
64,23436.6,0.68943,0.35801,0.97867,0.84715,0.85693,0.8879,0.61203,1.48968,0.75359,1.72807,0.000246729,0.000246729,0.000246729
65,23814.5,0.69156,0.35645,0.97665,0.87078,0.83652,0.89453,0.61688,1.48967,0.75289,1.71918,0.000235391,0.000235391,0.000235391
66,24192.8,0.67391,0.35157,0.96888,0.88434,0.83189,0.89226,0.61592,1.49037,0.74747,1.729,0.00022422,0.00022422,0.00022422
67,24570.7,0.67155,0.34992,0.96328,0.86674,0.83361,0.8907,0.61161,1.48996,0.75545,1.72058,0.000213226,0.000213226,0.000213226
68,24948.6,0.66383,0.34449,0.9626,0.87307,0.83082,0.89184,0.61119,1.4883,0.75429,1.72403,0.00020242,0.00020242,0.00020242
69,25326.7,0.6569,0.33963,0.95859,0.85965,0.83973,0.88786,0.6131,1.48507,0.75293,1.72525,0.000191813,0.000191813,0.000191813
70,25704.9,0.64313,0.33598,0.95438,0.83338,0.87083,0.89349,0.61906,1.48956,0.75203,1.73625,0.000181415,0.000181415,0.000181415
71,26083.1,0.6495,0.33836,0.95427,0.84809,0.8635,0.88852,0.61226,1.48955,0.75855,1.72727,0.000171237,0.000171237,0.000171237
72,26460.9,0.64083,0.33389,0.95481,0.86085,0.85488,0.89305,0.61769,1.48986,0.76378,1.7344,0.000161289,0.000161289,0.000161289
73,26838.8,0.62444,0.32699,0.9461,0.87954,0.83283,0.89045,0.61698,1.4886,0.76041,1.74365,0.00015158,0.00015158,0.00015158
74,27216.8,0.62836,0.32743,0.94894,0.86051,0.84372,0.88875,0.61604,1.48678,0.76636,1.7469,0.000142121,0.000142121,0.000142121
75,27594.8,0.62377,0.32571,0.94641,0.85933,0.8431,0.88601,0.61179,1.48797,0.76968,1.7571,0.000132919,0.000132919,0.000132919
76,27972.8,0.61004,0.31714,0.93723,0.87635,0.83919,0.8898,0.61651,1.48955,0.77315,1.76381,0.000123986,0.000123986,0.000123986
77,28350.9,0.61512,0.32177,0.94396,0.88868,0.82571,0.88995,0.61948,1.48719,0.77041,1.75876,0.000115328,0.000115328,0.000115328
78,28728.9,0.60576,0.31659,0.93898,0.85653,0.8475,0.88742,0.61322,1.48663,0.77237,1.7567,0.000106956,0.000106956,0.000106956
79,29106.8,0.60459,0.31775,0.93796,0.87005,0.83852,0.89229,0.61828,1.4887,0.77753,1.76266,9.88768e-05,9.88768e-05,9.88768e-05
80,29484.9,0.60219,0.31733,0.93941,0.87218,0.83748,0.89274,0.6146,1.48894,0.78085,1.77102,9.10986e-05,9.10986e-05,9.10986e-05
81,29879,0.46722,0.223,0.86635,0.88467,0.83007,0.89236,0.61501,1.48419,0.78532,1.77587,8.36293e-05,8.36293e-05,8.36293e-05
82,30253.4,0.45524,0.21862,0.86181,0.87826,0.83203,0.89337,0.61684,1.48244,0.78763,1.78473,7.64761e-05,7.64761e-05,7.64761e-05
83,30644,0.45308,0.21707,0.86028,0.8781,0.83243,0.89289,0.61995,1.48287,0.78871,1.792,6.96461e-05,6.96461e-05,6.96461e-05
84,31005.5,0.44098,0.2145,0.85603,0.87402,0.83169,0.89556,0.62203,1.4815,0.79524,1.79314,6.31462e-05,6.31462e-05,6.31462e-05
85,31391.6,0.43876,0.21182,0.8563,0.85964,0.84163,0.89444,0.62178,1.48014,0.79651,1.79894,5.69826e-05,5.69826e-05,5.69826e-05
86,31739.3,0.43688,0.21087,0.85533,0.8792,0.82805,0.89466,0.62188,1.47942,0.79796,1.80059,5.11614e-05,5.11614e-05,5.11614e-05
87,32561.5,0.43092,0.20933,0.85171,0.88361,0.82221,0.89528,0.62395,1.47839,0.79632,1.80357,4.56885e-05,4.56885e-05,4.56885e-05
88,32884.2,0.42816,0.20848,0.85104,0.88474,0.82382,0.89499,0.62376,1.47816,0.79434,1.80801,4.05692e-05,4.05692e-05,4.05692e-05
89,33203.1,0.42248,0.20639,0.85083,0.88549,0.82397,0.89441,0.62228,1.4778,0.79402,1.81328,3.58085e-05,3.58085e-05,3.58085e-05
90,33515.8,0.41838,0.20449,0.84781,0.88445,0.82413,0.89472,0.62301,1.47834,0.79776,1.82006,3.14112e-05,3.14112e-05,3.14112e-05
91,33830.1,0.41705,0.20417,0.84714,0.87583,0.82725,0.89474,0.62241,1.47796,0.79865,1.82561,2.73816e-05,2.73816e-05,2.73816e-05
92,34144.3,0.41356,0.20278,0.84599,0.87455,0.83054,0.89503,0.62322,1.47838,0.79603,1.83013,2.37237e-05,2.37237e-05,2.37237e-05
93,34459.4,0.41437,0.20292,0.84477,0.87405,0.83236,0.89513,0.62267,1.47757,0.79621,1.83078,2.04411e-05,2.04411e-05,2.04411e-05
94,34771.1,0.41258,0.20252,0.84678,0.87657,0.82855,0.8936,0.62104,1.47753,0.79655,1.83342,1.7537e-05,1.7537e-05,1.7537e-05
95,35084.1,0.40891,0.20073,0.84802,0.88054,0.82803,0.89421,0.62027,1.47806,0.79733,1.8376,1.50142e-05,1.50142e-05,1.50142e-05
96,35399.3,0.40617,0.19854,0.84443,0.87553,0.83196,0.89458,0.62148,1.47771,0.79724,1.83871,1.28754e-05,1.28754e-05,1.28754e-05
97,35714.6,0.40577,0.20005,0.84289,0.87672,0.83049,0.89395,0.62095,1.47729,0.79674,1.84037,1.11226e-05,1.11226e-05,1.11226e-05
98,36029.9,0.40379,0.19883,0.84572,0.87722,0.82982,0.8939,0.62268,1.47776,0.79682,1.84265,9.75746e-06,9.75746e-06,9.75746e-06
99,36345.6,0.40354,0.19914,0.84347,0.87122,0.83174,0.89337,0.62179,1.47785,0.7965,1.84371,8.78142e-06,8.78142e-06,8.78142e-06
100,36662,0.40491,0.19946,0.84484,0.87085,0.82981,0.89361,0.62169,1.47767,0.79536,1.84443,8.1954e-06,8.1954e-06,8.1954e-06
