epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
110,868.743,1.20245,0.97106,1.4127,0.81574,0.6368,0.75319,0.42693,1.32523,0.99557,1.61175,0.000363783,0.000363783,0.000363783
111,876.464,1.23082,0.98397,1.44637,0.81861,0.62297,0.75132,0.42448,1.40485,1.10709,1.7132,0.00036057,0.00036057,0.00036057
112,884.486,1.21695,0.9561,1.41844,0.68093,0.56186,0.75791,0.44674,1.36399,1.10335,1.71723,0.000357357,0.000357357,0.000357357
113,892.345,1.19316,0.94207,1.41274,0.60643,0.72128,0.75717,0.43205,1.39531,1.25747,1.73092,0.000354144,0.000354144,0.000354144
114,900.323,1.21926,0.99867,1.44057,0.86112,0.73026,0.78758,0.47525,1.39878,1.08017,1.72395,0.000350931,0.000350931,0.000350931
115,908.314,1.23378,0.987,1.42925,0.60117,0.65903,0.75394,0.45343,1.39812,1.03544,1.68812,0.000347718,0.000347718,0.000347718
116,916.165,1.18584,0.96714,1.40922,0.88315,0.65177,0.77089,0.47933,1.39119,1.18416,1.72291,0.000344505,0.000344505,0.000344505
117,924.074,1.20779,0.98453,1.42076,0.55044,0.7408,0.74026,0.45778,1.33663,0.9458,1.65396,0.000341292,0.000341292,0.000341292
118,931.816,1.19039,0.97132,1.40744,0.56439,0.63839,0.74728,0.45094,1.32251,1.14461,1.63037,0.000338079,0.000338079,0.000338079
119,939.428,1.18231,0.94965,1.41071,0.50456,0.73487,0.75361,0.44183,1.27308,1.14601,1.60288,0.000334866,0.000334866,0.000334866
120,947.242,1.19261,0.95832,1.40801,0.6822,0.6235,0.75343,0.44721,1.31488,1.15157,1.63491,0.000331653,0.000331653,0.000331653
121,955.024,1.19009,0.94605,1.40418,0.86328,0.60221,0.76976,0.44217,1.32598,1.07712,1.68608,0.00032844,0.00032844,0.00032844
122,962.975,1.18239,0.94855,1.40682,0.544,0.80221,0.75174,0.42405,1.26732,1.04087,1.64118,0.000325227,0.000325227,0.000325227
123,971.132,1.17812,0.94609,1.41125,0.59873,0.63806,0.71249,0.44874,1.29896,1.18139,1.64292,0.000322014,0.000322014,0.000322014
124,979.319,1.1834,0.95903,1.41098,0.58014,0.76474,0.757,0.48751,1.23084,1.21273,1.6061,0.000318801,0.000318801,0.000318801
125,987.502,1.17389,0.93439,1.40393,0.60377,0.61718,0.73448,0.46146,1.35112,1.13989,1.63964,0.000315588,0.000315588,0.000315588
126,995.723,1.15543,0.93298,1.38323,0.65398,0.66799,0.73708,0.43886,1.32794,1.093,1.656,0.000312375,0.000312375,0.000312375
127,1003.72,1.16482,0.94474,1.38852,0.90867,0.5916,0.75663,0.4396,1.38272,1.18664,1.7304,0.000309162,0.000309162,0.000309162
